EPOCH=001,Accuracy= 53.080%
EPOCH=002,Accuracy= 69.380%
EPOCH=003,Accuracy= 73.820%
EPOCH=004,Accuracy= 79.410%
EPOCH=005,Accuracy= 79.730%
EPOCH=006,Accuracy= 82.140%
EPOCH=007,Accuracy= 79.750%
EPOCH=008,Accuracy= 81.440%
EPOCH=009,Accuracy= 85.110%
EPOCH=010,Accuracy= 86.680%
EPOCH=011,Accuracy= 84.860%
EPOCH=012,Accuracy= 86.640%
EPOCH=013,Accuracy= 87.920%
EPOCH=014,Accuracy= 86.950%
EPOCH=015,Accuracy= 87.270%
EPOCH=016,Accuracy= 88.900%
EPOCH=017,Accuracy= 87.500%
EPOCH=018,Accuracy= 89.260%
EPOCH=019,Accuracy= 88.890%
EPOCH=020,Accuracy= 88.950%
