001  00001 |Loss: 2.352 | Acc: 6.250% 
001  00002 |Loss: 2.754 | Acc: 8.594% 
001  00003 |Loss: 2.863 | Acc: 9.115% 
001  00004 |Loss: 2.787 | Acc: 11.523% 
001  00005 |Loss: 2.833 | Acc: 13.438% 
001  00006 |Loss: 2.730 | Acc: 14.714% 
001  00007 |Loss: 2.650 | Acc: 15.290% 
001  00008 |Loss: 2.612 | Acc: 15.625% 
001  00009 |Loss: 2.550 | Acc: 16.667% 
001  00010 |Loss: 2.508 | Acc: 17.500% 
001  00011 |Loss: 2.464 | Acc: 18.466% 
001  00012 |Loss: 2.433 | Acc: 19.206% 
001  00013 |Loss: 2.401 | Acc: 19.651% 
001  00014 |Loss: 2.375 | Acc: 19.922% 
001  00015 |Loss: 2.351 | Acc: 20.208% 
001  00016 |Loss: 2.326 | Acc: 20.654% 
001  00017 |Loss: 2.302 | Acc: 21.094% 
001  00018 |Loss: 2.277 | Acc: 21.832% 
001  00019 |Loss: 2.255 | Acc: 22.492% 
001  00020 |Loss: 2.244 | Acc: 22.617% 
001  00021 |Loss: 2.231 | Acc: 22.582% 
001  00022 |Loss: 2.213 | Acc: 22.869% 
001  00023 |Loss: 2.192 | Acc: 23.709% 
001  00024 |Loss: 2.182 | Acc: 23.926% 
001  00025 |Loss: 2.172 | Acc: 24.031% 
001  00026 |Loss: 2.163 | Acc: 24.339% 
001  00027 |Loss: 2.148 | Acc: 24.855% 
001  00028 |Loss: 2.139 | Acc: 25.112% 
001  00029 |Loss: 2.129 | Acc: 25.242% 
001  00030 |Loss: 2.118 | Acc: 25.547% 
001  00031 |Loss: 2.107 | Acc: 25.806% 
001  00032 |Loss: 2.099 | Acc: 25.952% 
001  00033 |Loss: 2.087 | Acc: 26.278% 
001  00034 |Loss: 2.078 | Acc: 26.471% 
001  00035 |Loss: 2.069 | Acc: 26.629% 
001  00036 |Loss: 2.065 | Acc: 26.714% 
001  00037 |Loss: 2.059 | Acc: 26.985% 
001  00038 |Loss: 2.051 | Acc: 27.076% 
001  00039 |Loss: 2.044 | Acc: 27.284% 
001  00040 |Loss: 2.037 | Acc: 27.520% 
001  00041 |Loss: 2.033 | Acc: 27.534% 
001  00042 |Loss: 2.024 | Acc: 27.641% 
001  00043 |Loss: 2.018 | Acc: 27.689% 
001  00044 |Loss: 2.012 | Acc: 27.699% 
001  00045 |Loss: 2.008 | Acc: 27.795% 
001  00046 |Loss: 2.004 | Acc: 27.972% 
001  00047 |Loss: 1.996 | Acc: 28.125% 
001  00048 |Loss: 1.991 | Acc: 28.353% 
001  00049 |Loss: 1.984 | Acc: 28.571% 
001  00050 |Loss: 1.977 | Acc: 28.703% 
001  00051 |Loss: 1.973 | Acc: 28.845% 
001  00052 |Loss: 1.972 | Acc: 28.756% 
001  00053 |Loss: 1.970 | Acc: 28.788% 
001  00054 |Loss: 1.970 | Acc: 28.689% 
001  00055 |Loss: 1.963 | Acc: 28.864% 
001  00056 |Loss: 1.961 | Acc: 28.920% 
001  00057 |Loss: 1.958 | Acc: 28.920% 
001  00058 |Loss: 1.952 | Acc: 29.135% 
001  00059 |Loss: 1.948 | Acc: 29.290% 
001  00060 |Loss: 1.946 | Acc: 29.310% 
001  00061 |Loss: 1.943 | Acc: 29.444% 
001  00062 |Loss: 1.941 | Acc: 29.498% 
001  00063 |Loss: 1.939 | Acc: 29.551% 
001  00064 |Loss: 1.937 | Acc: 29.614% 
